Player,Year,School,G,YPG,TDPG,Team Yards,Team TDs,DR,MSY,MSTD,Type
Travis Homer,2017,Miami (FL),13,91.15,0.69,403.4,3.5,21.15,22.6,19.71,Rushing
Ian Eriksen,2017,Eastern Michigan,11,77.42,0.67,387.8,3,21.15,19.96,22.33,Rushing
David Williams,2017,Arkansas,11,68.92,0.83,373.4,3.5,21.09,18.46,23.71,Rushing
Emmanuel Reed,2017,Buffalo,9,79.67,0.83,431.9,3.5,21.08,18.45,23.71,Rushing
Aaron Duckworth,2017,Idaho,13,102.67,0.33,349.5,2.6,21.03,29.38,12.69,Rushing
Jordan Ellis,2017,Virginia,12,74.85,0.54,342.2,2.7,20.94,21.87,20,Rushing
Michael Carter,2017,North Carolina,12,59.91,0.82,369.6,3.2,20.92,16.21,25.63,Rushing
Ty Johnson,2017,Maryland,13,77.92,0.5,323.3,2.9,20.67,24.1,17.24,Rushing
Darius Anderson,2017,Texas Christian,12,82.5,0.8,419.2,3.9,20.1,19.68,20.51,Rushing
KirVonte Benson,2017,Georgia Tech,13,97.18,0.55,391.6,3.6,20.05,24.82,15.28,Rushing
Osharmar Abercrombie,2017,Coastal Carolina,13,66.42,0.58,345.3,2.8,19.97,19.24,20.71,Rushing
Rodney Anderson,2017,Oklahoma,14,103,1.29,579.6,5.8,19.97,17.77,22.17,Rushing
Ben LeMay,2017,Charlotte,11,68.33,0.33,303.2,1.9,19.95,22.54,17.37,Rushing
Rodney Smith,2017,Minnesota,12,90.33,0.25,308.5,2.5,19.64,29.28,10,Rushing
Travis Etienne,2017,Clemson,13,63.31,1,430.5,4.1,19.55,14.71,24.39,Rushing
Andrew Clair,2017,Bowling Green State,13,77.64,0.55,390,2.9,19.44,19.91,18.97,Rushing
Chris Evans,2017,Michigan,12,64.77,0.54,348.9,2.7,19.28,18.56,20,Rushing
Jamal Morrow,2017,Washington State,8,79.08,0.69,434.3,3.4,19.25,18.21,20.29,Rushing
Trayveon Williams,2017,Texas A&M,12,82.5,0.67,406.8,3.7,19.19,20.28,18.11,Rushing
Darrell Henderson,2017,Memphis,13,115,0.92,532.1,5.5,19.17,21.61,16.73,Rushing
Quinton Flowers,2017,South Florida,13,89.83,0.92,513,4.6,18.76,17.51,20,Rushing
Malik Davis,2017,Florida,13,83.43,0.29,335.9,2.3,18.72,24.84,12.61,Rushing
Mike Boone,2017,Cincinnati,12,64,0.5,351.8,2.6,18.71,18.19,19.23,Rushing
Richard McQuarley,2017,New Mexico,11,47.8,0.6,359.7,2.5,18.64,13.29,24,Rushing
A.J. Erdely,2017,UAB,11,25.31,1,363.8,3.3,18.63,6.96,30.3,Rushing
Patrick Taylor Jr.,2017,Memphis,10,84.5,1.17,532.1,5.5,18.58,15.88,21.27,Rushing
Caleb Huntley,2017,Ball State,11,85.75,0.25,335.8,2.2,18.45,25.54,11.36,Rushing
Keith Ford,2017,Texas A&M,13,48.62,0.92,406.8,3.7,18.41,11.95,24.86,Rushing
Caleb Evans,2017,Louisiana-Monroe,11,47.75,1.08,458.8,4.1,18.37,10.41,26.34,Rushing
La Ramsby,2017,Georgia Southern,13,49.33,0.5,332.3,2.3,18.29,14.85,21.74,Rushing
Khalil Herbert,2017,Kansas,13,63.73,0.36,329,2.1,18.26,19.37,17.14,Rushing
Duke Catalon,2017,Houston,11,60.25,0.75,428.2,3.4,18.06,14.07,22.06,Rushing
Shakif Seymour,2017,Toledo,14,62,1,485.1,4.3,18.02,12.78,23.26,Rushing
Morgon Ellison,2017,Indiana,12,69.45,0.55,395.8,3,17.94,17.55,18.33,Rushing
Brittain Brown,2017,Duke,13,66.31,0.54,384.8,2.9,17.93,17.23,18.62,Rushing
Aeris Williams,2017,Mississippi State,13,96.08,0.46,418.6,3.6,17.87,22.95,12.78,Rushing
Darius Tice,2017,South Florida,13,79.67,0.92,513,4.6,17.77,15.53,20,Rushing
Glenn Smith,2017,Georgia State,9,80.92,0.33,388.5,2.3,17.59,20.83,14.35,Rushing
Damien Harris,2017,Alabama,14,77.93,0.79,444.1,4.6,17.31,17.55,17.08,Rushing
Keion Davis,2017,Marshall,10,72.77,0.46,380.2,3,17.24,19.14,15.33,Rushing
Brad Anderson,2017,Middle Tennessee State,9,92.11,0.33,394.5,3,17.17,23.35,11,Rushing
Qadree Ollison,2017,Pittsburgh,10,49.33,0.58,366.2,2.8,17.09,13.47,20.71,Rushing
Nashon Ellerbe,2017,Rice,10,38,0.5,331.8,2.2,17.09,11.45,22.73,Rushing
Kelton Moore,2017,Nevada,14,87,0.42,397.6,3.5,16.94,21.88,12,Rushing
Jon Hilliman,2017,Boston College,12,61,0.54,386.7,3,16.89,15.77,18,Rushing
Justin Crawford,2017,West Virginia,10,91.5,0.58,459.5,4.2,16.86,19.91,13.81,Rushing
Dontae Strickland,2017,Syracuse,12,62.4,0.6,456.3,3,16.84,13.68,20,Rushing
Dorian Brown,2017,Ohio,9,64.42,0.92,432.6,4.9,16.83,14.89,18.78,Rushing
Izzy Matthews,2017,Colorado State,14,68.91,0.82,493.2,4.2,16.75,13.97,19.52,Rushing
Alex Barnes,2017,Kansas State,11,65.23,0.54,372.5,3.4,16.7,17.51,15.88,Rushing
Xavier Jones,2017,SMU,12,89.15,0.69,478.5,4.7,16.66,18.63,14.68,Rushing
Gerrid Doaks,2017,Cincinnati,8,72,0.33,351.8,2.6,16.58,20.47,12.69,Rushing
Devwah Whaley,2017,Arkansas,13,51.25,0.67,373.4,3.5,16.43,13.73,19.14,Rushing
J.K. Dobbins,2017,Ohio State,13,109.86,0.57,506.2,5.2,16.33,21.7,10.96,Rushing
Warren Wand,2017,Arkansas State,10,85.9,0.7,494.9,4.6,16.29,17.36,15.22,Rushing
David Hood,2017,Temple,10,62.31,0.46,388.2,2.8,16.24,16.05,16.43,Rushing
Tyler Huntley,2017,Utah,8,53.7,0.6,413.4,3.1,16.17,12.99,19.35,Rushing
Shai Werts,2017,Georgia Southern,12,68.36,0.27,332.3,2.3,16.16,20.57,11.74,Rushing
A.J. Ouellette,2017,Ohio,12,84.85,0.62,432.6,4.9,16.13,19.61,12.65,Rushing
Alex Gardner,2017,Florida International,9,66.23,0.46,392.3,3,16.11,16.88,15.33,Rushing
Timothy McVey,2017,Air Force,13,73.08,0.58,416.3,4,16.03,17.55,14.5,Rushing
John Wolford,2017,Wake Forest,12,56.92,0.83,465.9,4.2,15.99,12.22,19.76,Rushing
D'Ernest Johnson,2017,South Florida,11,79.08,0.75,513,4.6,15.86,15.42,16.3,Rushing
Jonathan Banks,2017,Tulane,10,53.82,0.64,391.5,3.6,15.76,13.75,17.78,Rushing
Tyrone Owens,2017,New Mexico,13,65.83,0.33,359.7,2.5,15.75,18.3,13.2,Rushing
Juwan Washington,2017,San Diego State,12,61.38,0.54,400.6,3.5,15.38,15.32,15.43,Rushing
Justin Stockton,2017,Texas Tech,13,93.82,0.45,474.6,4.2,15.24,19.77,10.71,Rushing
Josh Cleveland,2017,Bowling Green State,11,74.5,0.33,390,2.9,15.24,19.1,11.38,Rushing
Kelly Bryant,2017,Clemson,12,47.5,0.79,430.5,4.1,15.15,11.03,19.27,Rushing
Kani Benoit,2017,Oregon,12,51.67,0.83,440.9,4.5,15.08,11.72,18.44,Rushing
Nate Hopkins,2017,Connecticut,12,32.18,0.64,415.5,2.9,14.91,7.74,22.07,Rushing
Mikale Wilbon,2017,Nebraska,13,41.73,0.55,385,2.9,14.9,10.84,18.97,Rushing
Chase Hayden,2017,Arkansas,7,49.86,0.57,373.4,3.5,14.84,13.35,16.33,Rushing
Soso Jamabo,2017,UCLA,11,65,0.6,458.5,3.9,14.78,14.18,15.38,Rushing
Ronnie Rivers,2017,Fresno State,11,50.75,0.5,393.9,3,14.78,12.88,16.67,Rushing
Jordon Brown,2017,North Carolina,12,70.83,0.33,369.6,3.2,14.74,19.16,10.31,Rushing
Ty Isaac,2017,Michigan,12,70.5,0.25,348.9,2.7,14.73,20.21,9.26,Rushing
Kyle Hicks,2017,Texas Christian,12,77.33,0.42,419.2,3.9,14.61,18.45,10.77,Rushing
Josh Hokit,2017,Fresno State,12,49.29,0.5,393.9,3,14.59,12.51,16.67,Rushing
Ish Witter,2017,Missouri,12,87.38,0.54,503.2,4.6,14.55,17.36,11.74,Rushing
Daniel Jones,2017,Duke,10,39.85,0.54,384.8,2.9,14.49,10.36,18.62,Rushing
Matt Colburn,2017,Wake Forest,11,74.69,0.54,465.9,4.2,14.44,16.03,12.86,Rushing
Demry Croft,2017,Minnesota,11,34.56,0.44,308.5,2.5,14.4,11.2,17.6,Rushing
Jarred Craft,2017,Louisiana Tech,13,55.09,0.45,403,3,14.33,13.67,15,Rushing
Rico Dowdle,2017,South Carolina,8,47.38,0.38,337.9,2.6,14.22,14.02,14.42,Rushing
Kell Walker,2017,Army,13,61.67,0.5,390.1,4,14.15,15.81,12.5,Rushing
Adrian Killins,2017,UCF,11,73.77,0.85,530.9,5.9,14.15,13.9,14.41,Rushing
Jordan Mims,2017,Fresno State,14,54.64,0.43,393.9,3,14.1,13.87,14.33,Rushing
Joshua Fields,2017,UTEP,12,35,0.18,231.7,1.4,13.98,15.11,12.86,Rushing
Damarea Crockett,2017,Missouri,6,86,0.5,503.2,4.6,13.98,17.09,10.87,Rushing
Derrick Gore,2017,Louisiana-Monroe,12,63.25,0.58,458.8,4.1,13.97,13.79,14.15,Rushing
Mike Weber,2017,Ohio State,12,60,0.83,506.2,5.2,13.91,11.85,15.96,Rushing
J.T. Barrett,2017,Ohio State,14,57,0.86,506.2,5.2,13.9,11.26,16.54,Rushing
Shaq Vann,2017,Eastern Michigan,13,64.67,0.33,387.8,3,13.84,16.68,11,Rushing
Robert Martin,2017,Rutgers,12,42.33,0.25,264.2,2.2,13.69,16.02,11.36,Rushing
Ke'Mon Freemon,2017,SMU,13,43.92,0.85,478.5,4.7,13.63,9.18,18.09,Rushing
John Lovett,2017,Baylor,14,42.27,0.45,404.9,2.7,13.55,10.44,16.67,Rushing
Ryquell Armstead,2017,Temple,11,52.23,0.38,388.2,2.8,13.51,13.45,13.57,Rushing
Daryl Chestnut,2017,New Mexico,12,45.18,0.36,359.7,2.5,13.48,12.56,14.4,Rushing
Kevin Mensah,2017,Connecticut,13,60.36,0.36,415.5,2.9,13.47,14.53,12.41,Rushing
Tavien Feaster,2017,Clemson,14,55.79,0.57,430.5,4.1,13.45,12.96,13.94,Rushing
Devine Ozigbo,2017,Nebraska,12,61.6,0.3,385,2.9,13.17,16,10.34,Rushing
Nick Smith,2017,North Texas,11,58.86,0.57,456.1,4.3,13.08,12.91,13.26,Rushing
Jalen Hurts,2017,Alabama,11,61,0.57,444.1,4.6,13.06,13.74,12.39,Rushing
Kalen Ballage,2017,Arizona State,13,58.46,0.46,431.5,3.7,12.99,13.55,12.43,Rushing
Kennedy McKoy,2017,West Virginia,13,55.67,0.58,459.5,4.2,12.96,12.12,13.81,Rushing
Travon McMillian,2017,Virginia Tech,12,51,0.42,412.8,3.1,12.95,12.35,13.55,Rushing
Alonzo Smith,2017,Miami (OH),13,73.4,0.2,384.9,3,12.87,19.07,6.67,Rushing
Lorenzo Harrison,2017,Maryland,13,54.83,0.25,323.3,2.9,12.79,16.96,8.62,Rushing
Jamauri Bogan,2017,Western Michigan,11,65.11,0.33,389.6,3.8,12.7,16.71,8.68,Rushing
Cameron Scarlett,2017,Stanford,9,40.21,0.57,388.9,3.8,12.67,10.34,15,Rushing
Josh Allen,2017,Wyoming,13,18.73,0.45,286,2.4,12.65,6.55,18.75,Rushing
Kellen Overstreet,2017,Wyoming,13,42.5,0.25,286,2.4,12.64,14.86,10.42,Rushing
Lavon Coleman,2017,Washington,14,46.83,0.58,405.5,4.3,12.52,11.55,13.49,Rushing
Vic Enwere,2017,California,12,37.64,0.45,384.5,3,12.39,9.79,15,Rushing
James Williams,2017,Washington State,10,67.46,0.31,434.3,3.4,12.33,15.53,9.12,Rushing
J.J. Taylor,2017,Arizona,13,68.92,0.54,489.9,5.2,12.23,14.07,10.38,Rushing
Brian Lewerke,2017,Michigan State,9,43.38,0.38,383.6,2.9,12.21,11.31,13.1,Rushing
Tyrell Clay,2017,UTSA,12,60.8,0.2,387.4,2.3,12.2,15.69,8.7,Rushing
Taven Birdow,2017,Air Force,14,42.67,0.56,416.3,4,12.12,10.25,14,Rushing
Trace McSorley,2017,Penn State,10,37.77,0.85,460.3,5.3,12.12,8.21,16.04,Rushing
Chazz Surratt,2017,North Carolina,9,23.33,0.56,369.6,3.2,11.91,6.31,17.5,Rushing
Bo Scarbrough,2017,Alabama,14,50.36,0.57,444.1,4.6,11.87,11.34,12.39,Rushing
D.J. Knox,2017,Purdue,12,53.77,0.31,403.1,3,11.84,13.34,10.33,Rushing
Taylor Martin,2017,Kansas,10,30.7,0.3,329,2.1,11.81,9.33,14.29,Rushing
Tyler Nevens,2017,San Jose State,10,58.27,0.09,318.1,1.7,11.81,18.32,5.29,Rushing
Trey Woods,2017,Wyoming,13,47.25,0.17,286,2.4,11.8,16.52,7.08,Rushing
A.J. Turner,2017,South Carolina,11,49.85,0.23,337.9,2.6,11.8,14.75,8.85,Rushing
Manny Morgan,2017,Akron,13,37.85,0.31,316.4,2.7,11.72,11.96,11.48,Rushing
Mulbah Car,2017,Houston,12,52.38,0.38,428.2,3.4,11.7,12.23,11.18,Rushing
Aaron McAllister,2017,Charlotte,12,42.18,0.18,303.2,1.9,11.69,13.91,9.47,Rushing
Marcus Childers,2017,Northern Illinois,11,40.25,0.42,379.8,3.3,11.66,10.6,12.73,Rushing
Kyle Porter,2017,Texas,12,30.4,0.5,398.8,3.2,11.62,7.62,15.63,Rushing
Shawndarrius Phillips,2017,Florida International,12,41.38,0.38,392.3,3,11.61,10.55,12.67,Rushing
Bolu Olorunfunmi,2017,UCLA,13,56.92,0.42,458.5,3.9,11.59,12.41,10.77,Rushing
Reggie Gallaspy II,2017,North Carolina State,13,42.92,0.54,452.2,4,11.5,9.49,13.5,Rushing
Tra Minter,2017,South Alabama,12,49,0.17,334.3,2.1,11.38,14.66,8.1,Rushing
Dexter Williams,2017,Notre Dame,9,41.44,0.56,448.4,4.2,11.24,9.24,13.23,Rushing
J'mar Smith,2017,Louisiana Tech,10,28.54,0.46,403,3,11.21,7.08,15.33,Rushing
Reggie Bonnafon,2017,Louisville,11,49.31,0.62,544.9,4.7,11.12,9.05,13.19,Rushing
Jeremy Larkin,2017,Northwestern,11,47.54,0.38,408,3.6,11.1,11.65,10.56,Rushing
Nick Wilson,2017,Arizona,13,56.36,0.55,489.9,5.2,11.04,11.5,10.58,Rushing
Stephen Johnson,2017,Kentucky,11,31.31,0.38,349.8,2.9,11.03,8.95,13.1,Rushing
Josh Anderson,2017,Troy,13,41.46,0.46,418.5,3.8,11.01,9.91,12.11,Rushing
Andy Davidson,2017,Army,12,48.23,0.38,390.1,4,10.93,12.36,9.5,Rushing
Damian Williams,2017,Texas State,13,9.42,0.42,339.8,2.2,10.93,2.77,19.09,Rushing
Toneil Carter,2017,Texas,9,31.44,0.44,398.8,3.2,10.82,7.88,13.75,Rushing
Larry Rountree III,2017,Missouri,12,58.46,0.46,503.2,4.6,10.81,11.62,10,Rushing
Steven Williams,2017,Old Dominion,11,26.3,0.3,332.3,2.2,10.78,7.91,13.64,Rushing
Ryan Wolpin,2017,Boise State,10,39.64,0.43,406.4,3.7,10.69,9.75,11.62,Rushing
Sewo Olonilua,2017,TCU,14,35.43,0.5,419.2,3.9,10.64,8.45,12.82,Rushing
Kenny Hill,2017,Texas Christian,13,30.85,0.54,419.2,3.9,10.6,7.36,13.85,Rushing
Anthony Taylor,2017,Texas State,13,31.32,0.26,339.8,2.2,10.52,9.22,11.82,Rushing
Josh Jackson,2017,Virginia Tech,14,24.92,0.46,412.8,3.1,10.44,6.04,14.84,Rushing
Stephen Carr,2017,USC,9,61.22,0.33,485.2,4,10.43,12.62,8.25,Rushing
Tre King,2017,Texas Tech,13,55.92,0.38,474.6,4.2,10.42,11.78,9.05,Rushing
Hussein Howe,2017,East Carolina,12,53.17,0.25,426,3,10.41,12.48,8.33,Rushing
Dalton Sturm,2017,UTSA,12,49.27,0.18,387.4,2.3,10.27,12.72,7.83,Rushing
Greg Howell,2017,Florida Atlantic,8,61.67,0.42,498.2,5.2,10.23,12.38,8.08,Rushing
Justice Hansen,2017,Arkansas State,12,38.58,0.58,494.9,4.6,10.2,7.8,12.61,Rushing
Hayden Moore,2017,Cincinnati,8,26.33,0.33,351.8,2.6,10.09,7.48,12.69,Rushing
Malik Rosier,2017,Miami (FL),13,37.31,0.38,403.4,3.5,10.05,9.25,10.86,Rushing
Deshawn McClease,2017,Virginia Tech,13,49.67,0.25,412.8,3.1,10.05,12.03,8.06,Rushing
Ty Chandler,2017,Tennessee,12,34.42,0.17,291.6,2.1,9.95,11.8,8.1,Rushing
Isaiah Saunders,2017,Idaho,14,45.92,0.17,349.5,2.6,9.84,13.14,6.54,Rushing
Cole Gest,2017,Indiana,13,51.1,0.2,395.8,3,9.79,12.91,6.67,Rushing
Manny Wilkins,2017,Arizona State,14,21.46,0.54,431.5,3.7,9.78,4.97,14.59,Rushing
Trey Sermon,2017,Oklahoma,14,63.07,0.5,579.6,5.8,9.75,10.88,8.62,Rushing
McKenzie Milton,2017,UCF,10,47.15,0.62,530.9,5.9,9.69,8.88,10.51,Rushing
Madre London,2017,Michigan State,12,30.5,0.33,383.6,2.9,9.67,7.95,11.38,Rushing
Moe Neal,2017,Syracuse,8,59.82,0.18,456.3,3,9.55,13.11,6,Rushing
Tyson Williams,2017,South Carolina,12,41.92,0.17,337.9,2.6,9.47,12.41,6.54,Rushing
Sam Ehlinger,2017,Texas,12,47.89,0.22,398.8,3.2,9.44,12.01,6.88,Rushing
Markell Jones,2017,Purdue,9,62,0.1,403.1,3,9.36,15.38,3.33,Rushing
D'Andre Ferby,2017,Western Kentucky,13,41.55,0.27,395.8,3.3,9.34,10.5,8.18,Rushing
James Butler,2017,Iowa,12,49.22,0.11,329.1,3.4,9.1,14.96,3.24,Rushing
Clayton Thorson,2017,Northwestern,13,3.62,0.62,408,3.6,9.05,0.89,17.22,Rushing
D'Andre Swift,2017,Georiga,15,51.4,0.27,435.3,4.4,8.97,11.81,6.14,Rushing
Steven Montez,2017,Colorado,9,29.08,0.33,418.9,3,8.97,6.94,11,Rushing
Dustin Crum,2017,Kent State,14,31,0.1,275.2,1.5,8.97,11.26,6.67,Rushing
Bradrick Shaw,2017,Wisconsin,12,35.09,0.36,415.3,3.8,8.96,8.45,9.47,Rushing
JaMycal Hasty,2017,Baylor,14,52.38,0.13,404.9,2.7,8.88,12.94,4.81,Rushing
Tony Brooks-James,2017,Oregon,9,53.5,0.25,440.9,4.5,8.84,12.13,5.56,Rushing
Chris High,2017,Navy,10,56.45,0.18,428.7,4,8.83,13.17,4.5,Rushing
Marcus Jones,2017,Northern Illinois,13,35.67,0.25,379.8,3.3,8.48,9.39,7.58,Rushing
Kellen Mond,2017,Texas A&M,12,34,0.3,406.8,3.7,8.23,8.36,8.11,Rushing
